Label	rev_id	comment	year	logged_in	ns	sample	split
0	666674821.0	"  ==He is a Rapist!!!!!== Please edit the article to include this important fact. Thank You.  — Preceding unsigned comment added by   •   "	2015	True	article	blocked	train
0	24297552.0	The other two films Hitch and Magnolia are also directly related to the community in question, and may be of interest to those who see those films.  So why not link to them?  	2005	False	article	random	train
0	329801523.0	  == blocking people ==  how can i block lambs12 from my page and editing my stuff she's saying bad things she's my sister  	2009	True	user	random	test
1	391141109.0	  == Are you a female????? ==  mootmootmootmootmootmootmootmootmootmoot	2010	True	user	blocked	train
0	426027506.0	 :::::Good enough for me; thanks for the info. I'll check the Sheffield references later. -   	2011	True	article	random	train
0	402484476.0	  == Motherjane concert location ==  Hi,  Motherjane, being a popular band, has headlined a lot of college rock festivals in India. But quoting the name of every college that they have performed is not quite right. So please refrain from adding the names of any more colleges/institutes. Thanks! —   	2010	True	article	random	train
0	361804288.0	  == warning ==  don't vandalize   	2010	True	user	blocked	train
0	668780869.0	" :There were reviews from critics in her song?   "	2015	True	article	blocked	train
0	555501737.0	"  Jack, is it a misrepresentation for you to write more than 500,000 nucleotide base pairs, or should you write 582 base pair.   Lets start watching ""RNA world"" page too.   "	2013	True	user	blocked	train
0	463827776.0	":Thank you, I will use these tool responsibly.  (Editor Review)   "	2011	True	user	random	train
0	502281592.0	  HELLO SITUSH ARE YOU THERE?? PEOPLE HAVE SOME QUESTIONS	2012	False	article	blocked	test
0	160548279.0	   -FREE MYANMAR!!! STOP THE MILITARY REGIME!!!! PATS1 DOESN't CARE!!! HE ONLY CARES ABOUT FOOTBALL AND ORDER!!!!!!!!!!!!!!!!	2007	True	user	blocked	train
0	530927911.0	" :Michael, with all due respect, it's over. It may be that you can do math better than me, but it's not the math that's the problem, it's statements like ""I don't know a whole lot about this case, but I tend to think that race may well be relevant here"" and ""My first instinct is it likely should be included as the news accounts likely included the information. But did they or was this simply not an issue?"". I assume you are ""counting"" those as ""in favour of inclusion""really, one can't. They are not unequivocal inclusion votes and raise more questions than they answer. Moreover, I assume you're including comments like ""I agree that race should be included as long as it does not violate WP:UNDUE."" That's finebut this participant did not address how the inclusion does not violate UNDUE, and since this (as John points out) is not a vote, such a statement can't have the full weight as is carried by the more complete answers of John and Beyond My Ken.   "	2013	True	article	blocked	test
0	149746279.0	  == Ecotheology is a acceptet term ==  I strongly suggest that the headline is keept. Just check out the web, ecotheology is a well known and accepted term. Religion and economy can be a link or further reading. 	2007	True	article	blocked	train
0	179903368.0	There's probably at least a website somewhere that you could cite. 	2007	True	article	random	train
0	131325703.0	Please do not replace Wikipedia pages with blank content. Blank pages are harmful to Wikipedia because they have a tendency to confuse readers. If it is a duplicate article, please redirect it to an appropriate existing page. If the page has been vandalised, please revert it to the last legitimate version. If you feel that the content of a page is inappropriate, please edit the page and replace it with appropriate content. If you believe there is no hope for the page, please see the deletion policy for how to proceed.     	2007	True	user	random	train
0	5675556.0	"   Hi. I am new to this and am not a registered user yet so do not know another way to send you a comment.  This is re: the entries on David Brock & The American Spectator.  I am 100% positive the quote from the Brock article on Anita Hill in the magazine is ""a bit nutty, and a bit slutty"" (actual quote is: ""So Hill may be a bit nutty, and a bit slutty, but is she an outright liar?"") because I checked it in the original magazine article.  I believe the quote is the same in the Real Anita Hill book, but I do not have the book on hand to check so I will not argue that at at this time.  It is true that the quote has been widely reportered as having ""little"" in it, but that error spread uncontrollably in the age of Nexis after Andrew Sullivan and others quoted it incorrectly.  Thank you for your edits!"	2004	False	user	random	train
0	367678856.0	"  I note that people on here just got Wikid77 blocked for three months because he allegedly communicated behind closed doors, called ""canvassing."" Why isn't re-writing a whole article just with a group of people who all agree with each other, with no clear notice to the public what is going on or where this draft is located, or how they can participate, even worse? This sure looks worse to me, like some sort of Tag Team situation, even if it isn't exactly canvassing. I don't see why it is okay for a group to plan to remove a whole article behind closed doors, while what he did is so egregious you wanted him blocked for three months. In my opinion, this attempted re-write behind closed doors violates Wikipedia policy on openness. That is all I am going to say for now at this level. Have a nice day.   "	2010	True	article	blocked	test
0	99689578.0	"uranium""] Inhaled Particles, vol. 2, pp. 819-38, at p. 836."	2007	True	article	random	test
0	161439753.0	   == Like my Topic? == I made a topic in Thomas R. Grover Middle School titled school clubs Like it? plzz reply back to my uder talk thingy 	2007	True	user	random	train
0	165802854.0	  ==The Jefferson School==  The article deleted because it was copied from another website. This is copyright violation and against the law. "' 	2007	True	user	blocked	test
0	76347088.0	"  :::::Once again, I disagree on all counts. It should be PATENTLY obviously to anyone reading about vaginoplasty and metoidioplasty surgery whose purpose is the creation of a vagina or a penis, that it is about the vagina and genitalia in a surgical context and that therefore photos of the surgery will of necessity include photos of the vagina or the penis as is relevant to the surgical procedure. The graphic is entirely editorial, and unfairly demonstrates a bias on the part of an author that is unfair and un called for in this context. I believe such notices set a socially incorrect precedent that should be reversed. Such notices are inappropriate in a medical context. An encyclopedia for the world should not ""cau tau"" to the overly prudish, biased, morees of certain absurdly puritanical cultures. Regarding the citation issues, I will repeat that this article is being held to an unfair and entirely biased standard that is not at all representative of the wikipedia and does not serve either its contributors or the likely potential readers of this article about this surgeon. Most people looking for this article will already be at least marginally aware that the surgical techniques Toby Meltzer has pioneered have given him renown among his peers, patients, and potential patients. A google search on ""Toby Meltzer"" will reveal the countless ocassions on which Toby Meltzer, MD is asked to give public presentations on his work.  20:16, 17 September 2006."	2006	True	article	blocked	dev
0	625046927.0	 ::::::Yes, Umbrella (as song, as video) is very significant for Rihanna fans.   	2014	True	article	blocked	train
0	75474120.0	     This block is unjustified, is because he is extremist, and always like bloking me!!	2006	True	user	blocked	dev
